run,commit,num_requests,optimizer,rebalance_interval,deep_alpha,sibling_alpha,tolerance,optimum_escape,avg_rps,avg_final_rps,optimum_count,conv_next_rps,conv_next_final_rps,conv_next_rebalances,conv_next_optimum,conv_next_base_rps,conv_next_base_final_rps,conv_next_base_rebalances,conv_next_base_optimum,efficientnet_b6_rps,efficientnet_b6_final_rps,efficientnet_b6_rebalances,efficientnet_b6_optimum,regnet_x_16gf_rps,regnet_x_16gf_final_rps,regnet_x_16gf_rebalances,regnet_x_16gf_optimum
run24,74cc5e80,5000,TimeBasedShishaPipelineOptimizer,4,5,2,0.05,,19.34,19.44,3,27.83,25.88,1248,True,21.85,22.98,1184,True,7.29,6.96,1248,False,20.39,21.95,1248,True
run25,8312cb95,5000,TimeBasedShishaPipelineOptimizer,4,5,1,0.05,,17.27,16.57,3,25.43,23.99,1248,True,20.1,18.06,1248,False,5.79,5.42,1248,True,17.75,18.82,1152,True
run26,31767757,1000,TimeBasedShishaPipelineOptimizer,4,5,2,0.1,,15.47,15.08,0,24.21,24.11,232,False,18.06,16.07,232,False,5.07,4.54,232,False,14.54,15.6,232,False
run27,2d6a3f58,5000,TimeBasedShishaPipelineOptimizer,3,5,2,0.75,,16.09,15.18,0,22.91,21.74,1664,False,18.49,17.37,1664,False,6.01,5.36,1664,False,16.93,16.24,1664,False
run28,75892f87,5000,TimeBasedShishaPipelineOptimizer,4,5,2,0.05,3,17.63,17.4,0,24.72,24.1,1248,False,19.86,19.96,1248,False,6.51,5.52,1248,False,19.42,20.03,1248,False
run29,b055d9fd,2000,TimeBasedShishaPipelineOptimizer,2,3,2,0.01,1,17.46,17.93,2,28.37,29.33,256,True,21.65,28.73,832,True,5.79,5.87,992,False,14.05,7.81,192,False
run30,b055d9fd,2000,TimeBasedShishaPipelineOptimizer,3,3,2,0.01,4,17.5,18.66,3,25.0,27.0,656,False,20.79,17.44,656,True,5.99,5.87,656,True,18.2,24.34,608,True
run31,b055d9fd,2000,TimeBasedShishaPipelineOptimizer,3,5,2,0.02,4,18.2,20.36,1,26.95,28.56,656,False,21.33,25.77,576,True,6.35,6.58,656,False,18.16,20.55,656,False
run32,b055d9fd,2000,TimeBasedShishaPipelineOptimizer,3,5,2,0.005,4,17.91,19.0,0,25.11,27.81,656,False,22.72,21.73,656,False,6.19,6.47,656,False,17.64,20.01,656,False
run33,b055d9fd,2000,TimeBasedShishaPipelineOptimizer,3,5,2,0.01,4,17.94,18.62,0,24.03,25.61,656,False,22.82,21.13,656,False,6.54,6.76,656,False,18.38,21.0,656,False
run34,b055d9fd,2000,TimeBasedShishaPipelineOptimizer,3,5,3,0.01,4,17.07,19.3,1,23.37,24.53,656,True,20.95,23.36,656,False,6.41,6.76,656,False,17.54,22.55,656,False
run35,b055d9fd,5000,TimeBasedShishaPipelineOptimizer,3,5,2,0.02,4,18.17,18.57,4,25.53,23.13,1664,True,21.65,20.16,1664,True,6.26,6.54,1632,True,19.23,24.47,1504,True
